13:30:37.165 [main] INFO  com.kronos.Kronos - Dubugger created
13:30:37.178 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
13:30:37.194 [main] DEBUG com.kronos.Kronos - Loaded Config
13:30:37.194 [main] DEBUG com.kronos.Kronos - Starting OPENGL
13:30:37.243 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
13:30:37.243 [main] DEBUG com.kronos.Kronos - GL Started
13:30:37.246 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[900], Height=[900], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131075=1, 131076=0}]}
13:30:37.395 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:30:37.396 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:30:37.397 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:30:37.429 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
13:30:37.432 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
13:30:37.432 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
13:30:37.525 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
13:30:37.687 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.746 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.753 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.767 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.785 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.811 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.817 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.831 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.848 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.865 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.882 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.900 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.914 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.930 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.948 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.963 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.980 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:30:37.998 [main] DEBUG com.kronos.Kronos - GL Error: 1282
