15:50:51.031 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
15:50:51.032 [main] DEBUG com.kronos.Kronos - GL Started
15:50:51.035 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[900], Height=[900], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131075=1, 131076=0}]}
15:50:51.181 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
15:50:51.182 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
15:50:51.183 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
15:50:51.214 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
15:50:51.217 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
15:50:51.217 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
15:50:51.309 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
15:50:51.354 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.388 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.393 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.409 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.413 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.431 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.447 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.464 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.479 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.496 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.513 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.530 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.546 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.566 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.577 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.595 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.612 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.628 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.645 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.661 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.679 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.697 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.711 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.728 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.744 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.761 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.778 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.796 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.813 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.831 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.846 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.864 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.879 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.897 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.912 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.928 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.945 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.964 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.978 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:50:51.995 [main] DEBUG com.kronos.Kronos - GL Error: 1282
