18:04:14.131 [main] INFO  com.kronos.Kronos - Status: 36053 
18:04:14.136 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
18:04:14.144 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.183 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.211 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.240 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.267 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.292 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.317 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.341 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.367 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.394 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.415 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.436 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.458 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.479 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.504 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.531 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.553 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.578 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.604 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.628 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.653 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.676 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.698 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.722 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.745 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.767 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.789 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.812 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.836 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.858 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.879 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.901 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.922 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.944 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.965 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:04:14.987 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
