19:59:19.072 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
19:59:19.074 [main] DEBUG com.kronos.Kronos - GL Started
19:59:19.095 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[500], Height=[500], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131076=0, 131075=1}]}
19:59:19.537 [main] INFO  com.kronos.Kronos - Status: 36053 
19:59:19.539 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
19:59:19.545 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.588 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.615 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.643 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.669 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.694 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.718 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.745 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.769 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.791 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.814 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.836 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.857 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.878 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.900 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.924 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.949 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:59:19.976 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
