20:00:23.126 [main] INFO  com.kronos.Kronos - Dubugger created
20:00:23.154 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
20:00:23.154 [main] DEBUG com.kronos.Kronos - Starting OPENGL
20:00:23.252 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
20:00:23.252 [main] DEBUG com.kronos.Kronos - GL Started
20:00:23.272 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[500], Height=[500], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131076=0, 131075=1}]}
20:00:23.727 [main] INFO  com.kronos.Kronos - Status: 36053 
20:00:23.730 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
20:00:23.736 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
20:00:23.783 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
20:00:23.810 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
20:00:23.836 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
20:00:23.863 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
20:00:23.890 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
20:00:23.914 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
20:00:23.938 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
20:00:23.962 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
20:00:23.983 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
