18:53:34.374 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
18:53:34.461 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
18:53:34.465 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.480 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.499 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.518 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.531 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.548 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.565 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.583 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.598 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.615 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.631 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.648 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.663 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.682 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.696 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.714 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.730 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.748 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.762 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.780 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.795 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.813 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.830 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.850 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.865 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.883 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.898 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.915 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.931 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.950 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.964 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.981 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:53:34.996 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
