21:16:22.104 [main] INFO  com.kronos.Kronos - Dubugger created
21:16:22.134 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
21:16:22.134 [main] DEBUG com.kronos.Kronos - Starting OPENGL
21:16:22.217 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
21:16:22.217 [main] DEBUG com.kronos.Kronos - GL Started
21:16:22.235 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[770], Height=[770], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131076=0, 131075=1}]}
21:16:22.556 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
21:16:22.598 [main] DEBUG com.kronos.Kronos - Verts: [8.0, 8.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 8.0, 8.0, 8.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 8.0, 8.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 8.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 8.0, 1.0, 1.0, 0.2852866, 0.2075414, 0.37629938, 0.0, -1.0, 0.0, 8.0, 1.0, 8.0, 0.2852866, 0.2075414, 0.37629938, 0.0, -1.0, 0.0, 1.0, 1.0, 8.0, 0.2852866, 0.2075414, 0.37629938, 0.0, -1.0, 0.0, 1.0, 1.0, 1.0, 0.2852866, 0.2075414, 0.37629938, 0.0, -1.0, 0.0, 8.0, 8.0, 8.0, 0.2852866, 0.2075414, 0.37629938, 1.0, 0.0, 0.0, 8.0, 1.0, 8.0, 0.2852866, 0.2075414, 0.37629938, 1.0, 0.0, 0.0, 8.0, 1.0, 1.0, 0.2852866, 0.2075414, 0.37629938, 1.0, 0.0, 0.0, 8.0, 8.0, 1.0, 0.2852866, 0.2075414, 0.37629938, 1.0, 0.0, 0.0, 1.0, 8.0, 8.0, 0.2852866, 0.2075414, 0.37629938, -1.0, 0.0, 0.0, 1.0, 1.0, 8.0, 0.2852866, 0.2075414, 0.37629938, -1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.2852866, 0.2075414, 0.37629938, -1.0, 0.0, 0.0, 1.0, 8.0, 1.0, 0.2852866, 0.2075414, 0.37629938, -1.0, 0.0, 0.0, 8.0, 8.0, 8.0, 0.2852866, 0.2075414, 0.37629938, 0.0, 0.0, 1.0, 8.0, 1.0, 8.0, 0.2852866, 0.2075414, 0.37629938, 0.0, 0.0, 1.0, 1.0, 1.0, 8.0, 0.2852866, 0.2075414, 0.37629938, 0.0, 0.0, 1.0, 1.0, 8.0, 8.0, 0.2852866, 0.2075414, 0.37629938, 0.0, 0.0, 1.0, 8.0, 8.0, 1.0, 0.2852866, 0.2075414, 0.37629938, 0.0, 0.0, -1.0, 8.0, 1.0, 1.0, 0.2852866, 0.2075414, 0.37629938, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 0.2852866, 0.2075414, 0.37629938, 0.0, 0.0, -1.0, 1.0, 8.0, 1.0, 0.2852866, 0.2075414, 0.37629938, 0.0, 0.0, -1.0] indices: [0, 1, 2, 2, 3, 0, 4, 5, 6, 6, 7, 4, 8, 9, 10, 10, 11, 8, 12, 13, 14, 14, 15, 12, 16, 17, 18, 18, 19, 16, 20, 21, 22, 22, 23, 20]
21:16:22.763 [main] DEBUG com.kronos.Kronos - Verts: [15.0, 8.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 15.0, 8.0, 8.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 8.0, 8.0, 8.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 8.0, 8.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 15.0, 1.0, 1.0, 0.4, 0.2, 0.8, 0.0, -1.0, 0.0, 15.0, 1.0, 8.0, 0.4, 0.2, 0.8, 0.0, -1.0, 0.0, 8.0, 1.0, 8.0, 0.4, 0.2, 0.8, 0.0, -1.0, 0.0, 8.0, 1.0, 1.0, 0.4, 0.2, 0.8, 0.0, -1.0, 0.0, 15.0, 8.0, 8.0, 0.4, 0.2, 0.8, 1.0, 0.0, 0.0, 15.0, 1.0, 8.0, 0.4, 0.2, 0.8, 1.0, 0.0, 0.0, 15.0, 1.0, 1.0, 0.4, 0.2, 0.8, 1.0, 0.0, 0.0, 15.0, 8.0, 1.0, 0.4, 0.2, 0.8, 1.0, 0.0, 0.0, 8.0, 8.0, 8.0, 0.4, 0.2, 0.8, -1.0, 0.0, 0.0, 8.0, 1.0, 8.0, 0.4, 0.2, 0.8, -1.0, 0.0, 0.0, 8.0, 1.0, 1.0, 0.4, 0.2, 0.8, -1.0, 0.0, 0.0, 8.0, 8.0, 1.0, 0.4, 0.2, 0.8, -1.0, 0.0, 0.0, 15.0, 8.0, 8.0, 0.4, 0.2, 0.8, 0.0, 0.0, 1.0, 15.0, 1.0, 8.0, 0.4, 0.2, 0.8, 0.0, 0.0, 1.0, 8.0, 1.0, 8.0, 0.4, 0.2, 0.8, 0.0, 0.0, 1.0, 8.0, 8.0, 8.0, 0.4, 0.2, 0.8, 0.0, 0.0, 1.0, 15.0, 8.0, 1.0, 0.4, 0.2, 0.8, 0.0, 0.0, -1.0, 15.0, 1.0, 1.0, 0.4, 0.2, 0.8, 0.0, 0.0, -1.0, 8.0, 1.0, 1.0, 0.4, 0.2, 0.8, 0.0, 0.0, -1.0, 8.0, 8.0, 1.0, 0.4, 0.2, 0.8, 0.0, 0.0, -1.0] indices: [0, 1, 2, 2, 3, 0, 4, 5, 6, 6, 7, 4, 8, 9, 10, 10, 11, 8, 12, 13, 14, 14, 15, 12, 16, 17, 18, 18, 19, 16, 20, 21, 22, 22, 23, 20]
21:16:22.823 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
21:16:22.875 [main] ERROR com.kronos.Kronos - Uniform lightDirection not found in shader.
21:16:22.875 [main] ERROR com.kronos.Kronos - Uniform lightColor not found in shader.
21:16:22.875 [main] ERROR com.kronos.Kronos - Uniform ambientColor not found in shader.
21:16:22.883 [main] ERROR com.kronos.Kronos - Uniform lightDirection not found in shader.
21:16:22.883 [main] ERROR com.kronos.Kronos - Uniform lightColor not found in shader.
21:16:22.883 [main] ERROR com.kronos.Kronos - Uniform ambientColor not found in shader.
21:16:22.892 [main] ERROR com.kronos.Kronos - Uniform lightDirection not found in shader.
21:16:22.892 [main] ERROR com.kronos.Kronos - Uniform lightColor not found in shader.
21:16:22.892 [main] ERROR com.kronos.Kronos - Uniform ambientColor not found in shader.
21:16:22.909 [main] ERROR com.kronos.Kronos - Uniform lightDirection not found in shader.
21:16:22.909 [main] ERROR com.kronos.Kronos - Uniform lightColor not found in shader.
21:16:22.909 [main] ERROR com.kronos.Kronos - Uniform ambientColor not found in shader.
21:16:22.925 [main] ERROR com.kronos.Kronos - Uniform lightDirection not found in shader.
21:16:22.925 [main] ERROR com.kronos.Kronos - Uniform lightColor not found in shader.
21:16:22.925 [main] ERROR com.kronos.Kronos - Uniform ambientColor not found in shader.
21:16:22.943 [main] ERROR com.kronos.Kronos - Uniform lightDirection not found in shader.
21:16:22.943 [main] ERROR com.kronos.Kronos - Uniform lightColor not found in shader.
21:16:22.943 [main] ERROR com.kronos.Kronos - Uniform ambientColor not found in shader.
21:16:22.959 [main] ERROR com.kronos.Kronos - Uniform lightDirection not found in shader.
21:16:22.959 [main] ERROR com.kronos.Kronos - Uniform lightColor not found in shader.
21:16:22.959 [main] ERROR com.kronos.Kronos - Uniform ambientColor not found in shader.
21:16:22.976 [main] ERROR com.kronos.Kronos - Uniform lightDirection not found in shader.
21:16:22.976 [main] ERROR com.kronos.Kronos - Uniform lightColor not found in shader.
21:16:22.976 [main] ERROR com.kronos.Kronos - Uniform ambientColor not found in shader.
21:16:22.992 [main] ERROR com.kronos.Kronos - Uniform lightDirection not found in shader.
21:16:22.992 [main] ERROR com.kronos.Kronos - Uniform lightColor not found in shader.
21:16:22.992 [main] ERROR com.kronos.Kronos - Uniform ambientColor not found in shader.
