11:09:14.080 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
11:09:14.087 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
11:09:14.129 [main] DEBUG com.kronos.Kronos - Verts: [8.0, 8.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 8.0, 8.0, 8.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 8.0, 8.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 8.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 8.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, -1.0, 0.0, 8.0, 1.0, 8.0, 0.0, 1.0, 0.0, 0.0, -1.0, 0.0, 1.0, 1.0, 8.0, 0.0, 1.0, 0.0, 0.0, -1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, -1.0, 0.0, 8.0, 8.0, 8.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 8.0, 1.0, 8.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 8.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 8.0, 8.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 8.0, 0.0, 1.0, 0.0, -1.0, 0.0, 0.0, 1.0, 1.0, 8.0, 0.0, 1.0, 0.0, -1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, -1.0, 0.0, 0.0, 1.0, 8.0, 1.0, 0.0, 1.0, 0.0, -1.0, 0.0, 0.0, 8.0, 8.0, 8.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 8.0, 1.0, 8.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 8.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 8.0, 8.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 8.0, 8.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0, 8.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 8.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0] indices: [0, 1, 2, 2, 3, 0, 4, 5, 6, 6, 7, 4, 8, 9, 10, 10, 11, 8, 12, 13, 14, 14, 15, 12, 16, 17, 18, 18, 19, 16, 20, 21, 22, 22, 23, 20]
11:09:14.341 [main] DEBUG com.kronos.Kronos - Verts: [15.0, 8.0, 1.0, 0.4, 0.2, 0.8, 0.0, 1.0, 0.0, 15.0, 8.0, 8.0, 0.4, 0.2, 0.8, 0.0, 1.0, 0.0, 8.0, 8.0, 8.0, 0.4, 0.2, 0.8, 0.0, 1.0, 0.0, 8.0, 8.0, 1.0, 0.4, 0.2, 0.8, 0.0, 1.0, 0.0, 15.0, 1.0, 1.0, 0.4, 0.2, 0.8, 0.0, -1.0, 0.0, 15.0, 1.0, 8.0, 0.4, 0.2, 0.8, 0.0, -1.0, 0.0, 8.0, 1.0, 8.0, 0.4, 0.2, 0.8, 0.0, -1.0, 0.0, 8.0, 1.0, 1.0, 0.4, 0.2, 0.8, 0.0, -1.0, 0.0, 15.0, 8.0, 8.0, 0.4, 0.2, 0.8, 1.0, 0.0, 0.0, 15.0, 1.0, 8.0, 0.4, 0.2, 0.8, 1.0, 0.0, 0.0, 15.0, 1.0, 1.0, 0.4, 0.2, 0.8, 1.0, 0.0, 0.0, 15.0, 8.0, 1.0, 0.4, 0.2, 0.8, 1.0, 0.0, 0.0, 8.0, 8.0, 8.0, 0.4, 0.2, 0.8, -1.0, 0.0, 0.0, 8.0, 1.0, 8.0, 0.4, 0.2, 0.8, -1.0, 0.0, 0.0, 8.0, 1.0, 1.0, 0.4, 0.2, 0.8, -1.0, 0.0, 0.0, 8.0, 8.0, 1.0, 0.4, 0.2, 0.8, -1.0, 0.0, 0.0, 15.0, 8.0, 8.0, 0.4, 0.2, 0.8, 0.0, 0.0, 1.0, 15.0, 1.0, 8.0, 0.4, 0.2, 0.8, 0.0, 0.0, 1.0, 8.0, 1.0, 8.0, 0.4, 0.2, 0.8, 0.0, 0.0, 1.0, 8.0, 8.0, 8.0, 0.4, 0.2, 0.8, 0.0, 0.0, 1.0, 15.0, 8.0, 1.0, 0.4, 0.2, 0.8, 0.0, 0.0, -1.0, 15.0, 1.0, 1.0, 0.4, 0.2, 0.8, 0.0, 0.0, -1.0, 8.0, 1.0, 1.0, 0.4, 0.2, 0.8, 0.0, 0.0, -1.0, 8.0, 8.0, 1.0, 0.4, 0.2, 0.8, 0.0, 0.0, -1.0] indices: [0, 1, 2, 2, 3, 0, 4, 5, 6, 6, 7, 4, 8, 9, 10, 10, 11, 8, 12, 13, 14, 14, 15, 12, 16, 17, 18, 18, 19, 16, 20, 21, 22, 22, 23, 20]
11:09:14.356 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
11:09:14.426 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.427 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.438 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.438 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.454 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.454 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.458 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.458 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.476 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.476 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.492 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.492 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.510 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.511 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.525 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.525 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.543 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.543 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.560 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.560 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.578 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.579 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.591 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.592 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.610 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.610 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.625 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.626 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.641 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.642 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.659 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.660 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.677 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.678 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.692 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.692 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.708 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.709 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.726 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.726 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.744 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.745 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.760 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.760 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.778 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.778 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.792 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.793 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.812 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.812 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.826 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.826 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.843 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.844 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.857 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.858 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.876 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.876 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.893 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.893 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.910 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.911 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.925 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.925 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.943 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:09:14.943 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:09:14.960 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
