11:12:06.066 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
11:12:06.069 [main] DEBUG com.kronos.Kronos - GL Started
11:12:06.092 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[770], Height=[770], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131076=0, 131075=1}]}
11:12:06.487 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
11:12:06.489 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
11:12:06.533 [main] DEBUG com.kronos.Kronos - Verts: [8.0, 8.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 8.0, 8.0, 8.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 8.0, 8.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 8.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 8.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, -1.0, 0.0, 8.0, 1.0, 8.0, 0.0, 1.0, 0.0, 0.0, -1.0, 0.0, 1.0, 1.0, 8.0, 0.0, 1.0, 0.0, 0.0, -1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, -1.0, 0.0, 8.0, 8.0, 8.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 8.0, 1.0, 8.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 8.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 8.0, 8.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 8.0, 0.0, 1.0, 0.0, -1.0, 0.0, 0.0, 1.0, 1.0, 8.0, 0.0, 1.0, 0.0, -1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, -1.0, 0.0, 0.0, 1.0, 8.0, 1.0, 0.0, 1.0, 0.0, -1.0, 0.0, 0.0, 8.0, 8.0, 8.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 8.0, 1.0, 8.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 8.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 8.0, 8.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 8.0, 8.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0, 8.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 8.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0] indices: [0, 1, 2, 2, 3, 0, 4, 5, 6, 6, 7, 4, 8, 9, 10, 10, 11, 8, 12, 13, 14, 14, 15, 12, 16, 17, 18, 18, 19, 16, 20, 21, 22, 22, 23, 20]
11:12:06.756 [main] DEBUG com.kronos.Kronos - Verts: [15.0, 8.0, 1.0, 0.4, 0.2, 0.8, 0.0, 1.0, 0.0, 15.0, 8.0, 8.0, 0.4, 0.2, 0.8, 0.0, 1.0, 0.0, 8.0, 8.0, 8.0, 0.4, 0.2, 0.8, 0.0, 1.0, 0.0, 8.0, 8.0, 1.0, 0.4, 0.2, 0.8, 0.0, 1.0, 0.0, 15.0, 1.0, 1.0, 0.4, 0.2, 0.8, 0.0, -1.0, 0.0, 15.0, 1.0, 8.0, 0.4, 0.2, 0.8, 0.0, -1.0, 0.0, 8.0, 1.0, 8.0, 0.4, 0.2, 0.8, 0.0, -1.0, 0.0, 8.0, 1.0, 1.0, 0.4, 0.2, 0.8, 0.0, -1.0, 0.0, 15.0, 8.0, 8.0, 0.4, 0.2, 0.8, 1.0, 0.0, 0.0, 15.0, 1.0, 8.0, 0.4, 0.2, 0.8, 1.0, 0.0, 0.0, 15.0, 1.0, 1.0, 0.4, 0.2, 0.8, 1.0, 0.0, 0.0, 15.0, 8.0, 1.0, 0.4, 0.2, 0.8, 1.0, 0.0, 0.0, 8.0, 8.0, 8.0, 0.4, 0.2, 0.8, -1.0, 0.0, 0.0, 8.0, 1.0, 8.0, 0.4, 0.2, 0.8, -1.0, 0.0, 0.0, 8.0, 1.0, 1.0, 0.4, 0.2, 0.8, -1.0, 0.0, 0.0, 8.0, 8.0, 1.0, 0.4, 0.2, 0.8, -1.0, 0.0, 0.0, 15.0, 8.0, 8.0, 0.4, 0.2, 0.8, 0.0, 0.0, 1.0, 15.0, 1.0, 8.0, 0.4, 0.2, 0.8, 0.0, 0.0, 1.0, 8.0, 1.0, 8.0, 0.4, 0.2, 0.8, 0.0, 0.0, 1.0, 8.0, 8.0, 8.0, 0.4, 0.2, 0.8, 0.0, 0.0, 1.0, 15.0, 8.0, 1.0, 0.4, 0.2, 0.8, 0.0, 0.0, -1.0, 15.0, 1.0, 1.0, 0.4, 0.2, 0.8, 0.0, 0.0, -1.0, 8.0, 1.0, 1.0, 0.4, 0.2, 0.8, 0.0, 0.0, -1.0, 8.0, 8.0, 1.0, 0.4, 0.2, 0.8, 0.0, 0.0, -1.0] indices: [0, 1, 2, 2, 3, 0, 4, 5, 6, 6, 7, 4, 8, 9, 10, 10, 11, 8, 12, 13, 14, 14, 15, 12, 16, 17, 18, 18, 19, 16, 20, 21, 22, 22, 23, 20]
11:12:06.768 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
11:12:06.843 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:12:06.843 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:12:06.850 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:12:06.850 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:12:06.867 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:12:06.867 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:12:06.872 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:12:06.872 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:12:06.890 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:12:06.890 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:12:06.904 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:12:06.905 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:12:06.921 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:12:06.922 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:12:06.937 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:12:06.937 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:12:06.956 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:12:06.956 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:12:06.970 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:12:06.971 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
11:12:06.988 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
11:12:06.988 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
